Vb,pH
0,1.43
1.41,1.46
2.89,1.48
4.42,1.48
5.93,1.5
7.42,1.66
8.9,1.67
10.46,1.71
11.94,1.75
13.47,1.78
14.95,1.81
16.58,1.84
18.09,1.88
19.51,1.91
20.89,1.98
21.43,2
21.93,2.11
22.49,2.09
22.98,2.11
23.5,2.13
23.96,2.22
24.07,2.24
24.21,2.33
24.28,2.28
24.39,2.5
24.46,2.49
24.64,2.59
24.74,2.97
24.82,3.07
25,3.21
25.09,4.01
25.19,4.04
25.31,4.92
25.42,4.95
25.53,4.98
25.63,5.04
25.71,5.08
25.82,5.24
25.94,5.34
26.08,5.48
26.19,5.69
26.33,5.86
26.46,6.04
26.72,6.2
27.73,6.38
28.2,6.5
29.21,6.62
30.24,6.76
31.26,6.9
33.12,7.05
35.2,7.21
37.21,7.33
38.63,7.48
40.69,7.68
42.7,7.92
45.73,8.44
47.76,8.81
49.67,9.31
50.68,9.39
50.99,9.43
51.13,9.5
51.25,9.57
51.38,9.61
51.51,9.66
51.72,9.7
51.86,9.74
51.99,9.73
52.18,9.8
52.48,9.84
52.73,9.87
53.26,9.9
53.7,9.93
54.88,9.97
55.72,10
56.73,10.02
59.61,10.04
62.58,10.07
65.6,10.09
68.69,10.12
71.79,10.13
74.68,10.17
77.71,10.19
80.98,10.25
85.6,10.28
