t1,x1,t2,x2,t3,x3,t4,x4,t5,x5,t6,x6
0.00E+00,-2.13E-03,0.00E+00,-2.72E-02,0.00E+00,-5.22E-02,0.00E+00,-2.22E-16,0.00E+00,0.00E+00,0.00E+00,-1.66E-02
1.60E-02,-3.34E-03,1.67E-02,-4.13E-02,1.67E-02,-6.72E-02,1.67E-02,-1.41E-04,1.67E-02,-1.55E-03,1.67E-02,-3.09E-02
3.30E-02,-5.96E-03,3.34E-02,-6.22E-02,3.34E-02,-8.61E-02,3.34E-02,-4.21E-04,3.34E-02,-4.29E-03,3.34E-02,-4.92E-02
5.00E-02,-1.34E-02,5.01E-02,-8.49E-02,5.01E-02,-1.08E-01,5.01E-02,-1.74E-03,5.01E-02,-1.42E-02,5.01E-02,-6.94E-02
6.70E-02,-2.33E-02,6.67E-02,-1.09E-01,6.67E-02,-1.32E-01,6.67E-02,-2.14E-03,6.67E-02,-2.31E-02,6.67E-02,-9.31E-02
8.30E-02,-3.96E-02,8.34E-02,-1.37E-01,8.34E-02,-1.60E-01,8.34E-02,-4.50E-03,8.34E-02,-3.51E-02,8.34E-02,-1.19E-01
1.00E-01,-6.83E-02,1.00E-01,-1.68E-01,1.00E-01,-1.92E-01,1.00E-01,-1.59E-02,1.00E-01,-5.95E-02,1.00E-01,-1.48E-01
1.17E-01,-8.86E-02,1.17E-01,-2.00E-01,1.17E-01,-2.26E-01,1.17E-01,-2.64E-02,1.17E-01,-7.84E-02,1.17E-01,-1.80E-01
1.33E-01,-1.12E-01,1.33E-01,-2.36E-01,1.33E-01,-2.64E-01,1.33E-01,-4.23E-02,1.33E-01,-1.00E-01,1.33E-01,-2.14E-01
1.50E-01,-1.37E-01,1.50E-01,-2.75E-01,1.50E-01,-3.05E-01,1.50E-01,-6.23E-02,1.50E-01,-1.25E-01,1.50E-01,-2.50E-01
1.67E-01,-1.65E-01,1.67E-01,-3.17E-01,1.67E-01,-3.49E-01,1.67E-01,-8.09E-02,1.67E-01,-1.52E-01,1.67E-01,-2.88E-01
1.83E-01,-1.96E-01,1.84E-01,-3.59E-01,1.84E-01,-3.96E-01,1.84E-01,-1.02E-01,1.84E-01,-1.83E-01,1.84E-01,-3.28E-01
2.00E-01,-2.30E-01,2.00E-01,-4.08E-01,2.00E-01,-4.45E-01,2.00E-01,-1.27E-01,2.00E-01,-2.16E-01,2.00E-01,-3.70E-01
2.17E-01,-2.67E-01,2.17E-01,-4.58E-01,2.17E-01,-4.99E-01,2.17E-01,-1.53E-01,2.17E-01,-2.52E-01,2.17E-01,-4.14E-01
2.33E-01,-3.07E-01,2.34E-01,-5.11E-01,2.34E-01,-5.57E-01,2.34E-01,-1.84E-01,2.34E-01,-2.90E-01,2.34E-01,-4.62E-01
2.50E-01,-3.49E-01,2.50E-01,-5.68E-01,2.50E-01,-6.14E-01,2.50E-01,-2.18E-01,2.50E-01,-3.32E-01,2.50E-01,-5.10E-01
2.67E-01,-3.94E-01,2.67E-01,-6.26E-01,2.67E-01,-6.75E-01,2.67E-01,-2.55E-01,2.67E-01,-3.76E-01,2.67E-01,-5.62E-01
2.83E-01,-4.42E-01,2.84E-01,-6.89E-01,2.84E-01,-7.37E-01,2.84E-01,-2.93E-01,2.84E-01,-4.23E-01,2.84E-01,-6.14E-01
3.00E-01,-4.95E-01,3.00E-01,-7.53E-01,3.00E-01,-8.04E-01,3.00E-01,-3.35E-01,3.00E-01,-4.74E-01,3.00E-01,-6.70E-01
3.17E-01,-5.50E-01,3.17E-01,-8.22E-01,3.17E-01,-8.73E-01,3.17E-01,-3.79E-01,3.17E-01,-5.27E-01,3.17E-01,-7.26E-01
3.33E-01,-6.06E-01,3.34E-01,-8.95E-01,3.34E-01,-9.45E-01,3.34E-01,-4.28E-01,3.34E-01,-5.84E-01,3.34E-01,-7.85E-01
3.50E-01,-6.66E-01,3.50E-01,-9.70E-01,3.50E-01,-1.02E+00,3.50E-01,-4.79E-01,3.50E-01,-6.43E-01,3.50E-01,-8.46E-01
3.67E-01,-7.30E-01,3.67E-01,-1.04E+00,3.67E-01,-1.10E+00,3.67E-01,-5.34E-01,3.67E-01,-7.06E-01,3.67E-01,-9.09E-01
3.84E-01,-7.95E-01,3.84E-01,-1.12E+00,,,3.84E-01,-5.90E-01,3.84E-01,-7.72E-01,3.84E-01,-9.75E-01
4.00E-01,-8.67E-01,,,,,4.00E-01,-6.50E-01,4.00E-01,-8.41E-01,4.00E-01,-1.04E+00
4.17E-01,-9.39E-01,,,,,4.17E-01,-7.12E-01,4.17E-01,-9.13E-01,4.17E-01,-1.11E+00
4.34E-01,-1.01E+00,,,,,4.34E-01,-7.76E-01,4.34E-01,-9.87E-01,,
4.50E-01,-1.09E+00,,,,,4.50E-01,-8.44E-01,4.50E-01,-1.06E+00,,
4.67E-01,-1.17E+00,,,,,4.67E-01,-9.24E-01,4.67E-01,-1.14E+00,,
,,,,,,4.84E-01,-9.99E-01,,,,
,,,,,,5.01E-01,-1.08E+00,,,,
,,,,,,5.17E-01,-1.15E+00,,,,
